"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";
"AMP";"";"CONN_07";"1X07";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"AUDIOIN";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";
"C3";"220uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C4";".1uF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C5";"10uf";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"G1";"AB9V";"AB9V";"AB9V";"9-V BATTERY CLIP";"";"";"";"";"";"";"";
"IC1";"7805T";"7805T";"TO220H";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";
"J1";"DCJ0202";"DCJ0202";"DCJ0202";"DC POWER JACK";"";"";"unknown";"unknown";"";"";"";
"J2";"AUDIO_JACK_TRS_0.25"_PTH_RA";"AUDIO_JACK_TRS_0.25"_PTH_RA";"AUDIO_JACK_0.25"_TRS_PTH_RA";"Audio Jack, 1/4" TRS jack, horizontal, PTH, aka "Phono jack"";"";"";"";"";"CONN-12339";"COM-11144";"";
"J3";"RASPBERRYPI-40-PIN-GPIO_PTH";"RASPBERRYPI-40-PIN-GPIO_PTH";"2X20_SHROUDED";"Raspberry Pi GPIO Header";"";"";"";"";"CONN-12263";"PRT-13054";"";
"LM386";"LM386";"LM386N-1";"DIL08";"Low Voltage Audio Power Amplifier";"";"";"";"";"";"";"";
"MIC1";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";
"MIC2";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";
"R1";"3.9K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R2";"3.9K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R3";"3.9K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R7";"10";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"S1";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S2";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S3";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S4";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S5";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S6";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S7";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S8";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S9";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"S10";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";" SWCH-08441";"";"COM-00097";
"SPEAKER";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";
"SWITCH";"SWITCH";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";
"U1";"CAT24C32";"AT24CP";"DIL08";"2-wire serial EEPROM";"";"AT24C1024BW-SH-B";"1362646";"03P2044";"";"";"";
